id,name,species,types,height,weight,abilities,evolutions,facts,site_link,img_link
1,Bulbasaur,Seed Pokémon,"['Grass', 'Poison']",0.7 m (2′04″),6.9 kg (15.2 lbs),"['Overgrow', 'Chlorophyll']","['Bulbasaur', 'Ivysaur', 'Venusaur']",A strange seed was planted on its back at birth. The plant sprouts and grows with this POKéMON.,https://pokemondb.net/pokedex/bulbasaur,https://img.pokemondb.net/artwork/bulbasaur.jpg
2,Ivysaur,Seed Pokémon,"['Grass', 'Poison']",1.0 m (3′03″),13.0 kg (28.7 lbs),"['Overgrow', 'Chlorophyll']","['Bulbasaur', 'Ivysaur', 'Venusaur']","When the bulb on its back grows large, it appears to lose the ability to stand on its hind legs.",https://pokemondb.net/pokedex/ivysaur,https://img.pokemondb.net/artwork/ivysaur.jpg
3,Venusaur,Seed Pokémon,"['Grass', 'Poison']",2.0 m (6′07″),100.0 kg (220.5 lbs),"['Overgrow', 'Chlorophyll']","['Bulbasaur', 'Ivysaur', 'Venusaur']",The plant blooms when it is absorbing solar energy. It stays on the move to seek sunlight.,https://pokemondb.net/pokedex/venusaur,https://img.pokemondb.net/artwork/venusaur.jpg
4,Charmander,Lizard Pokémon,['Fire'],0.6 m (2′00″),8.5 kg (18.7 lbs),"['Blaze', 'Solar Power']","['Charmander', 'Charmeleon', 'Charizard']","Obviously prefers hot places. When it rains, steam is said to spout from the tip of its tail.",https://pokemondb.net/pokedex/charmander,https://img.pokemondb.net/artwork/charmander.jpg
5,Charmeleon,Flame Pokémon,['Fire'],1.1 m (3′07″),19.0 kg (41.9 lbs),"['Blaze', 'Solar Power']","['Charmander', 'Charmeleon', 'Charizard']","When it swings its burning tail, it elevates the temperature to unbearably high levels.",https://pokemondb.net/pokedex/charmeleon,https://img.pokemondb.net/artwork/charmeleon.jpg
6,Charizard,Flame Pokémon,"['Fire', 'Flying']",1.7 m (5′07″),90.5 kg (199.5 lbs),"['Blaze', 'Solar Power']","['Charmander', 'Charmeleon', 'Charizard']",Spits fire that is hot enough to melt boulders. Known to cause forest fires unintentionally.,https://pokemondb.net/pokedex/charizard,https://img.pokemondb.net/artwork/charizard.jpg
7,Squirtle,Tiny Turtle Pokémon,['Water'],0.5 m (1′08″),9.0 kg (19.8 lbs),"['Torrent', 'Rain Dish']","['Squirtle', 'Wartortle', 'Blastoise']","After birth, its back swells and hardens into a shell. Powerfully sprays foam from its mouth.",https://pokemondb.net/pokedex/squirtle,https://img.pokemondb.net/artwork/squirtle.jpg
8,Wartortle,Turtle Pokémon,['Water'],1.0 m (3′03″),22.5 kg (49.6 lbs),"['Torrent', 'Rain Dish']","['Squirtle', 'Wartortle', 'Blastoise']","Often hides in water to stalk unwary prey. For swimming fast, it moves its ears to maintain balance.",https://pokemondb.net/pokedex/wartortle,https://img.pokemondb.net/artwork/wartortle.jpg
9,Blastoise,Shellfish Pokémon,['Water'],1.6 m (5′03″),85.5 kg (188.5 lbs),"['Torrent', 'Rain Dish']","['Squirtle', 'Wartortle', 'Blastoise']",A brutal POKéMON with pressurized water jets on its shell. They are used for high speed tackles.,https://pokemondb.net/pokedex/blastoise,https://img.pokemondb.net/artwork/blastoise.jpg
10,Caterpie,Worm Pokémon,['Bug'],0.3 m (1′00″),2.9 kg (6.4 lbs),"['Shield Dust', 'Run Away']","['Caterpie', 'Metapod', 'Butterfree']",Its short feet are tipped with suction pads that enable it to tirelessly climb slopes and walls.,https://pokemondb.net/pokedex/caterpie,https://img.pokemondb.net/artwork/caterpie.jpg
11,Metapod,Cocoon Pokémon,['Bug'],0.7 m (2′04″),9.9 kg (21.8 lbs),['Shed Skin'],"['Caterpie', 'Metapod', 'Butterfree']","This POKéMON is vulnerable to attack while its shell is soft, exposing its weak and tender body.",https://pokemondb.net/pokedex/metapod,https://img.pokemondb.net/artwork/metapod.jpg
12,Butterfree,Butterfly Pokémon,"['Bug', 'Flying']",1.1 m (3′07″),32.0 kg (70.5 lbs),"['Compound Eyes', 'Tinted Lens']","['Caterpie', 'Metapod', 'Butterfree']","In battle, it flaps its wings at high speed to release highly toxic dust into the air.",https://pokemondb.net/pokedex/butterfree,https://img.pokemondb.net/artwork/butterfree.jpg
13,Weedle,Hairy Bug Pokémon,"['Bug', 'Poison']",0.3 m (1′00″),3.2 kg (7.1 lbs),"['Shield Dust', 'Run Away']","['Weedle', 'Kakuna', 'Beedrill']","Often found in forests, eating leaves. It has a sharp venomous stinger on its head.",https://pokemondb.net/pokedex/weedle,https://img.pokemondb.net/artwork/weedle.jpg
14,Kakuna,Cocoon Pokémon,"['Bug', 'Poison']",0.6 m (2′00″),10.0 kg (22.0 lbs),['Shed Skin'],"['Weedle', 'Kakuna', 'Beedrill']","Almost incapable of moving, this POKéMON can only harden its shell to protect itself from predators.",https://pokemondb.net/pokedex/kakuna,https://img.pokemondb.net/artwork/kakuna.jpg
15,Beedrill,Poison Bee Pokémon,"['Bug', 'Poison']",1.0 m (3′03″),29.5 kg (65.0 lbs),"['Swarm', 'Sniper']","['Weedle', 'Kakuna', 'Beedrill']",Flies at high speed and attacks using its large venomous stingers on its forelegs and tail.,https://pokemondb.net/pokedex/beedrill,https://img.pokemondb.net/artwork/beedrill.jpg
16,Pidgey,Tiny Bird Pokémon,"['Normal', 'Flying']",0.3 m (1′00″),1.8 kg (4.0 lbs),"['Keen Eye', 'Tangled Feet', 'Big Pecks']","['Pidgey', 'Pidgeotto', 'Pidgeot']",A common sight in forests and woods. It flaps its wings at ground level to kick up blinding sand.,https://pokemondb.net/pokedex/pidgey,https://img.pokemondb.net/artwork/pidgey.jpg
17,Pidgeotto,Bird Pokémon,"['Normal', 'Flying']",1.1 m (3′07″),30.0 kg (66.1 lbs),"['Keen Eye', 'Tangled Feet', 'Big Pecks']","['Pidgey', 'Pidgeotto', 'Pidgeot']","Very protective of its sprawling territorial area, this POKéMON will fiercely peck at any intruder.",https://pokemondb.net/pokedex/pidgeotto,https://img.pokemondb.net/artwork/pidgeotto.jpg
18,Pidgeot,Bird Pokémon,"['Normal', 'Flying']",1.5 m (4′11″),39.5 kg (87.1 lbs),"['Keen Eye', 'Tangled Feet', 'Big Pecks']","['Pidgey', 'Pidgeotto', 'Pidgeot']","When hunting, it skims the surface of water at high speed to pick off unwary prey such as MAGIKARP.",https://pokemondb.net/pokedex/pidgeot,https://img.pokemondb.net/artwork/pidgeot.jpg
19,Rattata,Mouse Pokémon,['Normal'],0.3 m (1′00″),3.5 kg (7.7 lbs),"['Run Away', 'Guts', 'Hustle']","['Rattata', 'Raticate']","Bites anything when it attacks. Small and very quick, it is a common sight in many places.",https://pokemondb.net/pokedex/rattata,https://img.pokemondb.net/artwork/rattata.jpg
20,Raticate,Mouse Pokémon,['Normal'],0.7 m (2′04″),18.5 kg (40.8 lbs),"['Run Away', 'Guts', 'Hustle']","['Rattata', 'Raticate']",It uses its whiskers to maintain its balance. It apparently slows down if they are cut off.,https://pokemondb.net/pokedex/raticate,https://img.pokemondb.net/artwork/raticate.jpg
21,Spearow,Tiny Bird Pokémon,"['Normal', 'Flying']",0.3 m (1′00″),2.0 kg (4.4 lbs),"['Keen Eye', 'Sniper']","['Spearow', 'Fearow']",Eats bugs in grassy areas. It has to flap its short wings at high speed to stay airborne.,https://pokemondb.net/pokedex/spearow,https://img.pokemondb.net/artwork/spearow.jpg
22,Fearow,Beak Pokémon,"['Normal', 'Flying']",1.2 m (3′11″),38.0 kg (83.8 lbs),"['Keen Eye', 'Sniper']","['Spearow', 'Fearow']","With its huge and magnificent wings, it can keep aloft without ever having to land for rest.",https://pokemondb.net/pokedex/fearow,https://img.pokemondb.net/artwork/fearow.jpg
23,Ekans,Snake Pokémon,['Poison'],2.0 m (6′07″),6.9 kg (15.2 lbs),"['Intimidate', 'Shed Skin', 'Unnerve']","['Ekans', 'Arbok']","Moves silently and stealthily. Eats the eggs of birds, such as PIDGEY and SPEAROW, whole.",https://pokemondb.net/pokedex/ekans,https://img.pokemondb.net/artwork/ekans.jpg
24,Arbok,Cobra Pokémon,['Poison'],3.5 m (11′06″),65.0 kg (143.3 lbs),"['Intimidate', 'Shed Skin', 'Unnerve']","['Ekans', 'Arbok']",It is rumored that the ferocious warning markings on its belly differ from area to area.,https://pokemondb.net/pokedex/arbok,https://img.pokemondb.net/artwork/arbok.jpg
25,Pikachu,Mouse Pokémon,['Electric'],0.4 m (1′04″),6.0 kg (13.2 lbs),"['Static', 'Lightning Rod']","['Pichu', 'Pikachu', 'Raichu']","When several of these POKéMON gather, their electricity could build and cause lightning storms.",https://pokemondb.net/pokedex/pikachu,https://img.pokemondb.net/artwork/pikachu.jpg
26,Raichu,Mouse Pokémon,['Electric'],0.8 m (2′07″),30.0 kg (66.1 lbs),"['Static', 'Lightning Rod']","['Pichu', 'Pikachu', 'Raichu']",Its long tail serves as a ground to protect itself from its own high voltage power.,https://pokemondb.net/pokedex/raichu,https://img.pokemondb.net/artwork/raichu.jpg
27,Sandshrew,Mouse Pokémon,['Ground'],0.6 m (2′00″),12.0 kg (26.5 lbs),"['Sand Veil', 'Sand Rush']","['Sandshrew', 'Sandslash']",Burrows deep underground in arid locations far from water. It only emerges to hunt for food.,https://pokemondb.net/pokedex/sandshrew,https://img.pokemondb.net/artwork/sandshrew.jpg
28,Sandslash,Mouse Pokémon,['Ground'],1.0 m (3′03″),29.5 kg (65.0 lbs),"['Sand Veil', 'Sand Rush']","['Sandshrew', 'Sandslash']",Curls up into a spiny ball when threatened. It can roll while curled up to attack or escape.,https://pokemondb.net/pokedex/sandslash,https://img.pokemondb.net/artwork/sandslash.jpg
29,Nidoran♀ (female),Poison Pin Pokémon,['Poison'],0.4 m (1′04″),7.0 kg (15.4 lbs),"['Poison Point', 'Rivalry', 'Hustle']","['Nidoran♀', 'Nidorina', 'Nidoqueen']","Although small, its venomous barbs render this POKéMON dangerous. The female has smaller horns.",https://pokemondb.net/pokedex/nidoran-f,https://img.pokemondb.net/artwork/nidoran-f.jpg
30,Nidorina,Poison Pin Pokémon,['Poison'],0.8 m (2′07″),20.0 kg (44.1 lbs),"['Poison Point', 'Rivalry', 'Hustle']","['Nidoran♀', 'Nidorina', 'Nidoqueen']",The female’s horn develops slowly. Prefers physical attacks such as clawing and biting.,https://pokemondb.net/pokedex/nidorina,https://img.pokemondb.net/artwork/nidorina.jpg
31,Nidoqueen,Drill Pokémon,"['Poison', 'Ground']",1.3 m (4′03″),60.0 kg (132.3 lbs),"['Poison Point', 'Rivalry', 'Sheer Force']","['Nidoran♀', 'Nidorina', 'Nidoqueen']",Its hard scales provide strong protection. It uses its hefty bulk to execute powerful moves.,https://pokemondb.net/pokedex/nidoqueen,https://img.pokemondb.net/artwork/nidoqueen.jpg
32,Nidoran♂ (male),Poison Pin Pokémon,['Poison'],0.5 m (1′08″),9.0 kg (19.8 lbs),"['Poison Point', 'Rivalry', 'Hustle']","['Nidoran♂', 'Nidorino', 'Nidoking']","Stiffens its ears to sense danger. The larger its horns, the more powerful its secreted venom.",https://pokemondb.net/pokedex/nidoran-m,https://img.pokemondb.net/artwork/nidoran-m.jpg
33,Nidorino,Poison Pin Pokémon,['Poison'],0.9 m (2′11″),19.5 kg (43.0 lbs),"['Poison Point', 'Rivalry', 'Hustle']","['Nidoran♂', 'Nidorino', 'Nidoking']",An aggressive POKéMON that is quick to attack. The horn on its head secretes a powerful venom.,https://pokemondb.net/pokedex/nidorino,https://img.pokemondb.net/artwork/nidorino.jpg
34,Nidoking,Drill Pokémon,"['Poison', 'Ground']",1.4 m (4′07″),62.0 kg (136.7 lbs),"['Poison Point', 'Rivalry', 'Sheer Force']","['Nidoran♂', 'Nidorino', 'Nidoking']","It uses its powerful tail in battle to smash, constrict, then break the prey’s bones.",https://pokemondb.net/pokedex/nidoking,https://img.pokemondb.net/artwork/nidoking.jpg
35,Clefairy,Fairy Pokémon,['Fairy'],0.6 m (2′00″),7.5 kg (16.5 lbs),"['Cute Charm', 'Magic Guard', 'Friend Guard']","['Cleffa', 'Clefairy', 'Clefable']",Its magical and cute appeal has many admirers. It is rare and found only in certain areas.,https://pokemondb.net/pokedex/clefairy,https://img.pokemondb.net/artwork/clefairy.jpg
36,Clefable,Fairy Pokémon,['Fairy'],1.3 m (4′03″),40.0 kg (88.2 lbs),"['Cute Charm', 'Magic Guard', 'Unaware']","['Cleffa', 'Clefairy', 'Clefable']",A timid fairy POKéMON that is rarely seen. It will run and hide the moment it senses people.,https://pokemondb.net/pokedex/clefable,https://img.pokemondb.net/artwork/clefable.jpg
37,Vulpix,Fox Pokémon,['Fire'],0.6 m (2′00″),9.9 kg (21.8 lbs),"['Flash Fire', 'Drought']","['Vulpix', 'Ninetales']","At the time of birth, it has just one tail. The tail splits from its tip as it grows older.",https://pokemondb.net/pokedex/vulpix,https://img.pokemondb.net/artwork/vulpix.jpg
38,Ninetales,Fox Pokémon,['Fire'],1.1 m (3′07″),19.9 kg (43.9 lbs),"['Flash Fire', 'Drought']","['Vulpix', 'Ninetales']",Very smart and very vengeful. Grabbing one of its many tails could result in a 1000-year curse.,https://pokemondb.net/pokedex/ninetales,https://img.pokemondb.net/artwork/ninetales.jpg
39,Jigglypuff,Balloon Pokémon,"['Normal', 'Fairy']",0.5 m (1′08″),5.5 kg (12.1 lbs),"['Cute Charm', 'Competitive', 'Friend Guard']","['Igglybuff', 'Jigglypuff', 'Wigglytuff']","When its huge eyes light up, it sings a mysteriously soothing melody that lulls its enemies to sleep.",https://pokemondb.net/pokedex/jigglypuff,https://img.pokemondb.net/artwork/jigglypuff.jpg
40,Wigglytuff,Balloon Pokémon,"['Normal', 'Fairy']",1.0 m (3′03″),12.0 kg (26.5 lbs),"['Cute Charm', 'Competitive', 'Frisk']","['Igglybuff', 'Jigglypuff', 'Wigglytuff']","The body is soft and rubbery. When angered, it will suck in air and inflate itself to an enormous size.",https://pokemondb.net/pokedex/wigglytuff,https://img.pokemondb.net/artwork/wigglytuff.jpg
41,Zubat,Bat Pokémon,"['Poison', 'Flying']",0.8 m (2′07″),7.5 kg (16.5 lbs),"['Inner Focus', 'Infiltrator']","['Zubat', 'Golbat', 'Crobat']",Forms colonies in perpetually dark places. Uses ultrasonic waves to identify and approach targets.,https://pokemondb.net/pokedex/zubat,https://img.pokemondb.net/artwork/zubat.jpg
42,Golbat,Bat Pokémon,"['Poison', 'Flying']",1.6 m (5′03″),55.0 kg (121.3 lbs),"['Inner Focus', 'Infiltrator']","['Zubat', 'Golbat', 'Crobat']","Once it strikes, it will not stop draining energy from the victim even if it gets too heavy to fly.",https://pokemondb.net/pokedex/golbat,https://img.pokemondb.net/artwork/golbat.jpg
43,Oddish,Weed Pokémon,"['Grass', 'Poison']",0.5 m (1′08″),5.4 kg (11.9 lbs),"['Chlorophyll', 'Run Away']","['Oddish', 'Gloom', 'Vileplume', 'Bellossom']","During the day, it keeps its face buried in the ground. At night, it wanders around sowing its seeds.",https://pokemondb.net/pokedex/oddish,https://img.pokemondb.net/artwork/oddish.jpg
44,Gloom,Weed Pokémon,"['Grass', 'Poison']",0.8 m (2′07″),8.6 kg (19.0 lbs),"['Chlorophyll', 'Stench']","['Oddish', 'Gloom', 'Vileplume', 'Bellossom']",The fluid that oozes from its mouth isn’t drool. It is a nectar that is used to attract prey.,https://pokemondb.net/pokedex/gloom,https://img.pokemondb.net/artwork/gloom.jpg
45,Vileplume,Flower Pokémon,"['Grass', 'Poison']",1.2 m (3′11″),18.6 kg (41.0 lbs),"['Chlorophyll', 'Effect Spore']","['Oddish', 'Gloom', 'Vileplume', 'Bellossom']","The larger its petals, the more toxic pollen it contains. Its big head is heavy and hard to hold up.",https://pokemondb.net/pokedex/vileplume,https://img.pokemondb.net/artwork/vileplume.jpg
46,Paras,Mushroom Pokémon,"['Bug', 'Grass']",0.3 m (1′00″),5.4 kg (11.9 lbs),"['Effect Spore', 'Dry Skin', 'Damp']","['Paras', 'Parasect']",Burrows to suck tree roots. The mushrooms on its back grow by drawing nutrients from the bug host.,https://pokemondb.net/pokedex/paras,https://img.pokemondb.net/artwork/paras.jpg
